trade_id,signal_time,entry_time,entry_price,direction,initial_atr,stop_price,target_price,t5_time_c,mfe_at_t5_r_c,t5_result,exit_time,exit_bar,exit_price,exit_reason,gross_r_c,net_r,hold_minutes,entry_i,gross_r_i,mfe_at_t5_r_i,t5_time_i
P60-024328,,2023-10-03 09:52:00-05:00,14752.5,SHORT,15.214285714285714,14767.714285714286,14714.464285714286,2109790.0,0.8051643192488264,FAIL,2109790,2109790,14745.75,T5_NO_PROGRESS,0.44366197183098594,0.4436127768832828,15,2109775,0.44366197183098594,0.8051643192488264,2109790.0
P60-024455,,2023-10-13 00:40:00-05:00,15320.5,SHORT,2.6785714285714284,15323.17857142857,15313.80357142857,2120278.0,0.8400000000000001,FAIL,2120278,2120278,15318.5,T5_NO_PROGRESS,0.7466666666666667,0.7466193361762715,15,2120263,0.7466666666666667,0.8400000000000001,2120278.0
P60-024463,,2023-10-13 15:21:00-05:00,15110.0,SHORT,2.8035714285714284,15112.80357142857,15102.99107142857,2121159.0,0.802547770700637,FAIL,2121159,2121159,15109.25,T5_NO_PROGRESS,0.267515923566879,0.2674679331933224,15,2121144,0.267515923566879,0.802547770700637,2121159.0
P60-024483,,2023-10-16 21:24:00-05:00,15280.25,SHORT,1.9464285714285714,15282.19642857143,15275.38392857143,2122842.0,0.8990825688073395,FAIL,2122842,2122842,15279.75,T5_NO_PROGRESS,0.25688073394495414,0.2568332810326193,15,2122827,0.25688073394495414,0.8990825688073395,2122842.0
P60-024501,,2023-10-18 06:42:00-05:00,15158.5,SHORT,4.857142857142857,15163.357142857143,15146.357142857143,2124780.0,0.9264705882352942,FAIL,2124780,2124780,15157.0,T5_NO_PROGRESS,0.3088235294117647,0.3087756861303284,15,2124765,0.3088235294117647,0.9264705882352942,2124780.0
P60-024525,,2023-10-19 14:15:00-05:00,14898.25,SHORT,12.732142857142858,14910.982142857143,14866.419642857143,2126613.0,0.6283309957924264,FAIL,2126613,2126613,14894.25,T5_NO_PROGRESS,0.3141654978962132,0.31411679283892474,15,2126598,0.3141654978962132,0.6283309957924264,2126613.0
P60-024568,,2023-10-24 17:09:00-05:00,14799.5,SHORT,18.714285714285715,14818.214285714286,14752.714285714286,2130867.0,0.6145038167938931,FAIL,2130867,2130867,14803.0,T5_NO_PROGRESS,-0.18702290076335876,-0.18707195092983936,15,2130852,-0.18702290076335876,0.6145038167938931,2130867.0
P60-024582,,2023-10-25 14:04:00-05:00,14468.5,SHORT,9.857142857142858,14478.357142857143,14443.857142857143,2132122.0,0.6594202898550724,FAIL,2132122,2132122,14462.75,T5_NO_PROGRESS,0.5833333333333333,0.5832831903145753,15,2132107,0.5833333333333333,0.6594202898550724,2132122.0
P60-024667,,2023-11-01 19:54:00-05:00,14800.25,LONG,5.410714285714286,14794.839285714286,14813.776785714286,2139312.0,0.5544554455445545,FAIL,2139312,2139312,14801.0,T5_NO_PROGRESS,0.13861386138613863,0.1385648578122573,15,2139297,0.13861386138613863,0.5544554455445545,2139312.0
P60-024724,,2023-11-07 15:01:00-06:00,15374.5,SHORT,8.642857142857142,15383.142857142857,15352.892857142857,2144599.0,0.17355371900826447,FAIL,2144599,2144599,15376.75,T5_NO_PROGRESS,-0.2603305785123967,-0.2603777610413803,15,2144584,-0.2603305785123967,0.17355371900826447,2144599.0
P60-024773,,2023-11-12 17:13:00-06:00,15580.75,LONG,6.142857142857143,15574.607142857143,15596.107142857143,2148811.0,0.9767441860465116,FAIL,2148811,2148811,15581.5,T5_NO_PROGRESS,0.12209302325581395,0.12204647312499203,15,2148796,0.12209302325581395,0.9767441860465116,2148811.0
P60-024789,,2023-11-13 17:16:00-06:00,15555.0,SHORT,2.375,15557.375,15549.0625,2150194.0,0.21052631578947367,FAIL,2150194,2150194,15556.0,T5_NO_PROGRESS,-0.42105263157894735,-0.42109924750391176,15,2150179,-0.42105263157894735,0.21052631578947367,2150194.0
P60-024822,,2023-11-16 03:53:00-06:00,15854.75,SHORT,2.9285714285714284,15857.67857142857,15847.42857142857,2153591.0,0.426829268292683,FAIL,2153591,2153591,15852.75,T5_NO_PROGRESS,0.6829268292682927,0.6828810931992065,15,2153576,0.6829268292682927,0.426829268292683,2153591.0
