level,event_type,regime_dimension,regime_value,N,mean_forward_atr,era1_mean,era2_mean,era3_mean
PDL,APPROACH,above_prior_rth_close,False,938,0.047308935551017575,0.18236027662293305,-0.10217562610196952,0.10796455479510103
ONL,SWEEP,above_prior_rth_close,False,1998,0.1156697862533267,0.08867197498295447,0.12981167495816592,0.12522109526906552
ONL,BREAK_FAILURE,above_prior_rth_close,True,82,0.13056478006978295,0.01903554142558303,0.2247234679384219,0.17916351766571986
PRIOR_RTH_CLOSE,BREAK_FAILURE,above_prior_rth_close,False,691,-0.08652057902388581,0.07333127125475097,-0.329674088881375,0.19889243546768495
PDL,BREAK_HOLD,above_prior_rth_close,True,84,0.17163519434243907,0.9182155258552578,-0.038626934340513445,-0.3413205497448768
ONL,SWEEP,above_prior_rth_close,True,410,0.243138513051324,0.34022423935332485,0.16321118532608228,0.20845520783180793
ONH,SWEEP,above_prior_rth_close,False,292,0.11661315210076091,0.2163021535770378,0.11495592489493564,-0.033548194544007884
ORH,BREAK_FAILURE,above_prior_rth_close,False,241,0.08769200545403237,0.21840336684764616,0.28854641632274647,-0.2708697039272856
ORL,SWEEP,above_prior_rth_close,False,2096,0.08500143679127199,0.2761758881005202,-0.06939142697403242,0.09969527686516368
PDH,BREAK_FAILURE,above_prior_rth_close,False,137,0.2998250436851176,-0.7876644282287681,0.8044855895807834,-0.23666410703027557
PDH,APPROACH,above_prior_rth_close,False,125,0.022511398027724547,-0.04620223530723885,-0.18556078781107965,0.4491423990108695
ORL,BREAK_HOLD,above_prior_rth_close,False,741,0.06576279870415262,0.3706660585911417,-0.17156040911856593,0.0218243245479152
ONH,BREAK_HOLD,above_prior_rth_close,False,142,-0.24407620235146765,-0.29530192766027297,-0.32556992346035196,-0.05460944668160572
ORL,BREAK,above_prior_rth_close,False,1403,0.029864838793751153,0.27522124719803176,-0.20687576534970895,0.11204252569925378
ONL,BREAK_FAILURE,above_prior_rth_close,False,303,0.19441408591138712,0.1581817855362259,0.043183657199041575,0.48572337162139895
ORL,BREAK_FAILURE,above_prior_rth_close,False,327,0.1768223168000983,0.3699955352894537,0.020136452288219222,0.2079003430038144
PDL,BREAK_FAILURE,above_prior_rth_close,False,468,0.22216104149359797,0.0852489102599341,0.370332104438933,0.1254287215480447
SESSION_OPEN,TOUCH,overnight_gap_direction,0,459,0.06342454832157927,0.24982427392400594,-0.08254264105566762,0.05506578093004072
SESSION_OPEN,SWEEP,overnight_gap_direction,0,551,0.06965807886661078,0.1935917899908159,-0.005305378284039282,0.06230584960497904
SESSION_OPEN,BREAK,overnight_gap_direction,0,445,0.06547643509284569,0.1945354523875475,-0.12454439230250033,0.21317435456168626
SESSION_OPEN,BREAK_HOLD,overnight_gap_direction,0,343,-0.07612849510485656,0.06551460232056563,-0.1760780860390878,-0.10082466318325306
SESSION_OPEN,SWEEP,overnight_gap_direction,1,6051,0.04325255497862161,0.12566377132547354,-0.0240684450554579,0.03411258873151726
PDH,SWEEP,overnight_gap_direction,1,3131,0.043153061027102875,0.11897995561407235,-0.048503594456638856,0.040495801780218256
PDH,BREAK,overnight_gap_direction,1,2186,0.027028489375999453,0.19602864106221987,-0.21704839987066604,0.15377047315795514
PDH,BREAK_HOLD,overnight_gap_direction,1,851,0.06416366495427772,0.23497143709321378,-0.16560819522611844,0.0828249305833376
PDH,APPROACH,overnight_gap_direction,1,683,0.11159737300347647,0.20818996867692524,-0.055964029102569486,0.16131316818017694
PDH,TOUCH,overnight_gap_direction,1,1634,0.1658714948511598,0.18515259302708892,0.10802288472937178,0.19516519840537577
SESSION_OPEN,TOUCH,overnight_gap_direction,1,2898,-0.01918420288487976,0.10188198738364103,-0.020824676422993925,-0.1486853584211164
SESSION_OPEN,BREAK,overnight_gap_direction,1,4100,-0.1025894847041241,0.09029334400353567,-0.29285696814608125,-0.029312091556923082
SESSION_OPEN,BREAK_HOLD,overnight_gap_direction,1,1465,-0.04570107128879469,0.19459788024094604,-0.2795703334885837,-0.06003541766758347
SESSION_OPEN,APPROACH,overnight_gap_direction,1,1057,-0.1099993405207065,-0.12859766040611958,-0.0687982000686337,-0.13438521954733715
ONL,APPROACH,overnight_gap_direction,1,1026,-0.14989417619678577,-0.04187123570668677,-0.19210694399646625,-0.23186653939468416
ONL,TOUCH,overnight_gap_direction,1,5019,0.009657805185306647,0.16397297651072318,0.02010119593740879,-0.18780786421109474
ONH,APPROACH,overnight_gap_direction,1,1063,0.09393312818101549,0.2395477895602307,-0.31137639364922626,0.36983080994231954
ONH,TOUCH,overnight_gap_direction,1,5304,0.09216646485290629,0.17815243354398055,0.05400519572931276,0.04021451343138921
PDL,TOUCH,overnight_gap_direction,1,1133,-0.009372443412148488,0.12375322508833553,-0.03026904834693926,-0.13950782766459996
PDL,SWEEP,overnight_gap_direction,1,2175,-0.022144018217825436,0.06642291349577294,0.01938028238449413,-0.18875843577520784
PDL,BREAK,overnight_gap_direction,1,1314,-0.10639710897356727,0.008306563062388823,-0.10497420400206195,-0.2456167508970356
ONL,BREAK,overnight_gap_direction,1,880,0.06764903464229385,-0.07291642330252184,0.12456377837346033,0.17532938159240674
