time_bucket,level,event_type,N,mean_forward_atr,replicated
RTH_OPEN,ONH,BREAK_HOLD,800,0.09656598739531955,False
RTH_OPEN,ONL,BREAK_HOLD,646,0.09352868769690019,False
RTH_OPEN,PDL,SWEEP,738,0.09063671967373628,False
RTH_OPEN,ORH,BREAK,1750,0.08156740945327683,True
RTH_OPEN,ONL,BREAK,1012,0.08029108452189995,True
RTH_OPEN,ORL,SWEEP,2044,0.0792007923982919,False
RTH_OPEN,ORL,BREAK,1520,0.0701752792653733,False
RTH_OPEN,ORH,BREAK_HOLD,1142,0.06517075342965954,False
RTH_OPEN,ORH,TOUCH,4900,0.06386237738213753,True
RTH_OPEN,ORH,APPROACH,3054,0.05273861283960428,True
RTH_OPEN,PDL,BREAK_FAILURE,94,0.045639153405372695,False
RTH_OPEN,PDH,SWEEP,724,0.03964019368986673,False
RTH_OPEN,PDL,BREAK_HOLD,164,0.03888968325171971,False
RTH_OPEN,PRIOR_RTH_CLOSE,TOUCH,462,0.03765359756464792,False
RTH_OPEN,ORL,TOUCH,4904,0.011596254733986141,False
RTH_OPEN,ONL,SWEEP,1588,0.008236083566151289,False
RTH_OPEN,ONL,BREAK_FAILURE,262,0.007894379939246363,False
RTH_OPEN,PRIOR_RTH_CLOSE,SWEEP,1062,0.003868708317615404,False
RTH_OPEN,PDH,APPROACH,168,0.0001415231051739928,False
RTH_OPEN,ORL,APPROACH,2818,-0.0393648591778904,False
RTH_OPEN,PDH,BREAK_HOLD,206,-0.05458913872580451,False
RTH_OPEN,ORL,BREAK_FAILURE,408,-0.05652209026764512,False
RTH_OPEN,PRIOR_RTH_CLOSE,BREAK_FAILURE,130,-0.05777468047152508,False
RTH_OPEN,PDH,TOUCH,352,-0.06761633527892666,False
RTH_OPEN,SESSION_OPEN,TOUCH,478,-0.07478152726675691,False
RTH_OPEN,SESSION_OPEN,APPROACH,34,-0.09437776604885144,False
RTH_OPEN,ONL,TOUCH,604,-0.09773111454143601,False
RTH_OPEN,SESSION_OPEN,BREAK,672,-0.14626146322007844,False
RTH_OPEN,SESSION_OPEN,SWEEP,1048,-0.16325353948230187,False
RTH_OPEN,SESSION_OPEN,BREAK_FAILURE,112,-0.19215212283934696,False
RTH_OPEN,PRIOR_RTH_CLOSE,BREAK,632,-0.2145241591639621,False
RTH_OPEN,PRIOR_RTH_CLOSE,BREAK_HOLD,190,-0.2852305421050453,False
RTH_OPEN,PRIOR_RTH_CLOSE,APPROACH,112,-0.36737499100675713,False
RTH_OPEN,SESSION_OPEN,BREAK_HOLD,156,-0.37684976716356927,False
RTH_OPEN,ONL,APPROACH,68,-0.4101936333219249,False
