level,event_type,direction,horizon,N,full_mean_atr,era1_mean_atr,era2_mean_atr,era3_mean_atr,same_sign_across_eras,replicated,failure_reasons
ORL,BREAK_FAILURE,reversal,3,562,-0.03566575220668587,-0.12504798957477453,-0.03340841608416369,0.05276409918284096,False,False,not_same_sign
ORH,BREAK_FAILURE,reversal,3,612,-0.06228856970981235,-0.08363518532355708,-0.1504548706183977,0.05857990552892016,False,False,not_same_sign
PDL,BREAK_HOLD,reversal,3,1204,0.027590358074108614,-0.10441274949138886,0.09173077747754776,0.08628520431849328,False,False,not_same_sign
PRIOR_RTH_CLOSE,BREAK_FAILURE,reversal,3,1240,0.060963870449796946,-0.019573865742013856,0.17494720383092813,-0.04294228892682417,False,False,not_same_sign
ONH,BREAK_FAILURE,reversal,3,420,-0.09171431410066938,-0.10766914442460415,-0.10582984646341925,-0.05784764566618517,True,False,insufficient_positive_eras
ONL,SWEEP,reversal,3,2408,-0.024319439084577597,-0.048387251222715595,-0.026805862538411523,0.0049873540069417695,False,False,not_same_sign
ONL,BREAK_FAILURE,reversal,3,385,-0.006288305311118776,0.08693319184517748,-0.011329627196517634,-0.12637279652201633,False,False,not_same_sign
SESSION_OPEN,TOUCH,continuation,6,5980,-0.003848151782933562,0.05236963856091919,-0.00866820594039153,-0.060798086170569726,False,False,not_same_sign
SESSION_OPEN,SWEEP,continuation,6,12020,0.014200415851533171,0.06624407275634381,-0.014217949317761804,-0.0046525628533753164,False,False,not_same_sign
SESSION_OPEN,BREAK,continuation,6,8022,-0.07770427311824159,0.02433802695749203,-0.22407052107560954,0.03406413012177705,False,False,not_same_sign
SESSION_OPEN,BREAK_HOLD,continuation,6,3096,-0.03142772308000983,-0.00792080161249035,-0.05421369799518053,-0.029744270161342463,True,False,insufficient_positive_eras
PDH,SWEEP,continuation,6,5606,0.026882766906079776,0.029036991994006247,0.03720597264335387,0.013450192482577403,True,False,effect_too_small
PDH,BREAK,continuation,6,3904,-0.08922496493153988,-0.08433852391490361,-0.19747898774520203,0.06845918382397921,False,False,not_same_sign
PDH,BREAK_HOLD,continuation,6,1604,0.03684961642777353,0.021152959017907137,0.055567587052272306,0.03390682241897825,True,False,effect_too_small
PDH,APPROACH,continuation,6,1289,0.042910316275035755,0.017219976727992144,0.04892812348513934,0.0654866121747738,True,False,effect_too_small
PDH,TOUCH,continuation,6,2979,0.02738483478808753,-0.03495084194215286,0.03770327667304594,0.08806828525824639,False,False,not_same_sign
SESSION_OPEN,APPROACH,continuation,6,2212,-0.015126337047486562,-0.05456993379428266,-0.016132895558190672,0.030932125784010233,False,False,not_same_sign
ONL,APPROACH,continuation,6,1974,0.0005638186420600905,0.05033482481657606,-0.10520121831491068,0.07225723827282478,False,False,not_same_sign
ONL,TOUCH,continuation,6,9635,0.02376364307317427,0.0829721768245672,-0.04221086495721953,0.03764579783465105,False,False,not_same_sign
ONH,APPROACH,continuation,6,2030,0.027728126373354235,0.07054021766285869,-0.14531174892474946,0.1822812300075277,False,False,not_same_sign
