trade_id,direction,outcome,net_R,15m_state,15m_strength,15m_score,5m_direction,5m_struct_score,5m_loc_score,5m_react_score,pb_depth_pct,swing_dist_atr,impulse_atr_15m
T58-041523,SHORT,WINNER,1.715458937197847,BULLISH,2.0,-2,NEUTRAL,1,0,3,0.8957528957528957,34.54545454545455,2.0332661072579326
T58-124489,LONG,WINNER,2.4280141843971688,BULLISH,2.0,2,NEUTRAL,2,1,2,0.5377777777777778,3.3507565337001375,1.8021644411648163
T58-045010,LONG,WINNER,2.07375328083996,BULLISH,1.5,2,NEUTRAL,2,0,1,0.13836477987421383,17.933884297520663,1.9374867939910883
T58-005794,LONG,WINNER,0.9078431372539935,TRANSITION,0.0,0,NEUTRAL,1,0,0,0.6511627906976745,6.5625,1.6899377347531561
T58-163487,LONG,WINNER,2.2359349593496436,BULLISH,1.0,1,NEUTRAL,2,1,1,0.2536764705882353,15.197860962566844,1.3896135373401426
T58-037369,LONG,WINNER,1.905128205128205,BULLISH,2.0,2,BULLISH,2,1,3,0.41304347826086957,4.784810126582278,2.18418651323725
T58-096030,SHORT,WINNER,2.1214452214453754,TRANSITION,0.0,0,BEARISH,2,1,1,0.4935064935064935,3.3237410071942444,1.422659724471447
T58-051358,SHORT,WINNER,1.7266666666666666,BEARISH,-1.5,2,NEUTRAL,2,1,3,0.28125,12.88,2.049159306652637
T58-196976,LONG,WINNER,2.2180555555554418,BULLISH,2.0,2,BULLISH,2,1,0,0.2857142857142857,6.64804469273743,2.2696180527631107
T58-214299,LONG,WINNER,2.259407407407283,BULLISH,1.0,1,BULLISH,2,1,2,0.4700854700854701,3.5483870967741935,0.9911467181382456
T58-175295,SHORT,WINNER,2.2964912280701753,BULLISH,1.0,0,NEUTRAL,2,0,2,0.774468085106383,3.577777777777778,2.773260989505749
T58-200282,SHORT,WINNER,2.3113821138211383,TRANSITION,0.0,0,NEUTRAL,2,1,3,0.581081081081081,2.8933333333333335,1.575616240268553
T58-115188,SHORT,WINNER,2.4463495209778667,BEARISH,-2.0,2,NEUTRAL,2,0,3,0.07834602829162132,15.702906350914962,1.3837727279751693
T58-113076,SHORT,WINNER,2.4028126870137543,BEARISH,-2.0,2,NEUTRAL,2,1,2,0.2003610108303249,9.828843106180667,3.896876188400554
T58-073724,LONG,WINNER,2.171919191919076,BULLISH,2.0,2,BULLISH,2,1,2,0.16733067729083664,17.835616438356166,3.147722726636996
T58-056061,LONG,WINNER,2.1484848484848484,BULLISH,1.5,2,BULLISH,2,0,2,0.009708737864077669,5.490196078431373,1.4202227827549512
T58-176524,SHORT,WINNER,2.4447619047619047,BEARISH,-2.0,2,BEARISH,2,0,2,0.010416666666666666,8.783018867924529,3.086089128812832
T58-021493,SHORT,WINNER,1.9794871794870823,BEARISH,-1.5,2,NEUTRAL,2,0,3,0.12658227848101267,4.110091743119266,1.0576554478803588
T58-022597,LONG,WINNER,1.6125683060113523,TRANSITION,0.0,0,NEUTRAL,2,1,1,0.3617021276595745,5.7272727272727275,0.8894867467434121
T58-198613,LONG,WINNER,2.388384879725095,BULLISH,2.0,2,BULLISH,2,0,3,0.7312072892938497,3.5074309978768574,1.6563631647877548
T58-189541,SHORT,WINNER,2.370494417862827,BEARISH,-2.0,2,NEUTRAL,2,1,2,0.2109181141439206,6.151029748283753,2.3758225846676493
