trade_id,direction,system,A_eventual_5m,B_at_horizon_5m,A_eventual_10m,B_at_horizon_10m,A_eventual_15m,B_at_horizon_15m,A_eventual_30m,B_at_horizon_30m,A_eventual_60m,B_at_horizon_60m,C_target_before_stop,D_stop_before_target
T58-088538,SHORT,A,True,False,True,False,True,False,True,True,True,True,False,True
T58-107571,SHORT,A,True,False,True,True,True,True,True,False,True,False,True,False
T58-064011,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
T58-179395,SHORT,A,True,False,True,False,True,False,True,True,True,False,True,False
T58-202103,SHORT,A,False,True,False,True,False,True,True,False,True,False,False,True
T58-037091,SHORT,A,True,False,True,True,True,True,True,True,True,True,False,True
T58-110890,SHORT,A,False,True,False,True,False,True,False,True,False,True,False,True
T58-004299,LONG,A,True,False,True,True,True,True,True,True,True,True,True,False
T58-204001,SHORT,A,False,True,True,False,True,False,True,False,True,True,False,True
T58-112610,LONG,A,True,True,True,True,True,True,True,True,True,True,False,True
T58-152900,LONG,A,False,False,True,True,True,True,True,True,True,True,False,True
T58-139611,SHORT,A,True,False,True,False,True,True,True,False,True,False,False,True
T58-076215,LONG,A,False,False,False,False,False,False,True,False,True,True,False,True
T58-123163,LONG,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-097495,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
T58-207424,SHORT,A,True,False,True,False,True,False,True,True,True,True,True,False
T58-196435,LONG,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-137892,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
T58-043708,LONG,A,False,False,False,False,False,False,False,False,False,False,False,True
T58-204423,LONG,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-188778,SHORT,A,True,False,True,True,True,True,True,True,True,True,False,True
T58-007917,LONG,A,True,True,True,True,True,False,True,False,True,True,False,True
T58-004614,SHORT,A,False,True,False,True,False,True,False,True,False,True,False,True
T58-051128,SHORT,A,True,False,True,False,True,False,True,True,True,True,False,True
T58-083514,LONG,A,True,False,True,True,True,True,True,True,True,True,False,True
T58-185775,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-161812,LONG,A,True,True,True,True,True,True,True,True,True,True,False,True
T58-165674,SHORT,A,True,False,True,False,True,False,True,False,True,True,False,True
T58-189936,LONG,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-131669,LONG,A,False,False,False,False,False,False,False,False,False,False,False,True
T58-080242,SHORT,A,True,False,True,True,True,False,True,False,True,False,False,True
T58-172610,LONG,A,True,True,True,False,True,True,True,True,True,True,False,True
T58-198257,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-053911,LONG,A,True,False,True,True,True,False,True,True,True,True,False,True
T58-014204,LONG,A,False,False,False,False,True,True,True,True,True,True,False,True
T58-141510,LONG,A,False,False,True,True,True,True,True,True,True,True,False,True
T58-090009,SHORT,A,True,False,True,True,True,True,True,True,True,True,False,True
T58-053856,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
T58-048876,LONG,A,False,False,True,False,True,False,True,False,True,False,False,True
T58-112467,LONG,A,True,False,True,False,True,True,True,True,True,True,False,True
