direction,phase58_entry_i,phase58b_entry_i,lag_bars,phase58_net_R,phase58b_net_R
SHORT,2773347,2773368,21,-1.1479052823314961,-1.1810479375697003
LONG,107638,107613,-25,-2.104761904761905,-4.866666666666667
SHORT,2928223,2928220,-3,-1.1171717171717173,-1.1261849261849148
LONG,767373,767385,12,-1.8328205128200157,1.4385620915040755
SHORT,2611405,2611400,-5,2.3038647342994616,-1.1520599250935832
LONG,1137049,1137041,-8,-1.119236417033779,2.354480286738359
LONG,920519,920543,24,1.936111111110883,-1.582078853046352
LONG,194586,194569,-17,1.211111111111111,1.1796747967473427
LONG,345519,345536,17,-1.3222222222222222,-1.4101010101010703
LONG,508202,508206,4,1.550292397661142,-2.0213836477985554
LONG,1810504,1810501,-3,-1.5106918238992777,1.8985185185183888
