timestamp,15m_state,5m_state,setup_id,5m_decision,5m_score,1m_execution_state,entry_timestamp,entry_price,stop,target,reason_codes
2018-05-28 23:45:00-05:00,BULLISH,TAKE,S58B-004740,TAKE_LONG,4,X1_FALLBACK,,6975.0,,,15M_SUPPORT_1|5M_HL|5M_MOM_DN|5M_PB_DEPTH_OK|5M_DIR_RESPONSE
2018-05-29 01:20:00-05:00,BEARISH,TAKE,S58B-004741,TAKE_SHORT,6,X1_FALLBACK,,6962.5,,,15M_SUPPORT_2|5M_LH|5M_LL|5M_MOM_DN|5M_DIR_RESPONSE|5M_MICRO_SHIFT
2018-05-29 01:45:00-05:00,BEARISH,TAKE,S58B-004742,TAKE_SHORT,5,X1_FAVORABLE,,6940.5,,,15M_SUPPORT_2|5M_LH|5M_LL|5M_MOM_DN|5M_PB_DEPTH_OK
2018-05-29 02:35:00-05:00,BEARISH,TAKE,S58B-004743,TAKE_SHORT,4,X1_FAVORABLE,,6936.75,,,15M_SUPPORT_2|5M_LH|5M_LL|5M_MOM_DN
2018-05-29 03:00:00-05:00,BEARISH,TAKE,S58B-004744,TAKE_SHORT,5,X1_FALLBACK,,6931.75,,,15M_SUPPORT_2|5M_LH|5M_LL|5M_MOM_DN|5M_REJECTION
2018-05-29 03:35:00-05:00,BEARISH,TAKE,S58B-004746,TAKE_SHORT,5,X1_FALLBACK,,6903.5,,,15M_SUPPORT_2|5M_LH|5M_LL|5M_MOM_DN|5M_MICRO_SHIFT
2018-05-29 05:30:00-05:00,BEARISH,TAKE,S58B-004747,TAKE_SHORT,6,X1_FALLBACK,,6921.75,,,15M_SUPPORT_1|5M_LH|5M_HL|5M_MOM_DN|5M_PB_DEPTH_OK|5M_DIR_RESPONSE|5M_MICRO_SHIFT
2018-05-29 07:05:00-05:00,NEUTRAL,TAKE,S58B-004749,TAKE_SHORT,5,MISSED_NO_CHASE,,,,,15M_NEUTRAL|5M_LL|5M_MOM_DN|5M_PB_DEPTH_OK|5M_DIR_RESPONSE|5M_MICRO_SHIFT
2018-05-29 08:45:00-05:00,BULLISH,TAKE,S58B-004750,TAKE_LONG,6,X1_FAVORABLE,,6950.75,,,15M_SUPPORT_2|5M_HH|5M_HL|5M_MOM_UP|5M_DIR_RESPONSE|5M_MICRO_SHIFT
2018-05-29 09:10:00-05:00,BULLISH,TAKE,S58B-004751,TAKE_LONG,5,X1_FAVORABLE,,6960.75,,,15M_SUPPORT_2|5M_HH|5M_HL|5M_MOM_UP|5M_PB_DEPTH_OK
