model,dimension,bucket,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample
Control,date_third,Late third,909,368,541,40.484048404840486,-0.026176750705850352,-23.79466639161797,0.9507137987704578,50.546333760138616,2.0,-1.0,6,21,0,0.038622804107697736,-0.10187744675693791,0.049523945345237214,True
Control,volatility,Low,836,327,507,39.11483253588517,-0.022189674279291978,-18.550567697488095,0.9591090548079132,29.63510016045985,2.0,-1.0,5,10,2,0.041225963952501395,-0.10299256362619472,0.058613215067610754,True
Control,volatility,Medium,793,318,474,40.10088272383354,-0.012365600077068578,-9.805920861115382,0.9770386577685605,44.553425417785824,2.0,-1.0,6,12,1,0.042594149000426955,-0.09585013211790541,0.07111893196376826,True
Control,volatility,High,1101,477,623,43.32425068119891,0.0022701722185526525,2.4994596126264703,1.004528009501526,40.846772680008314,2.0,-1.0,8,12,1,0.03423181429360424,-0.06482418379691166,0.06936452823401695,True
Control,volatility,Unavailable,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Control,trend_state,Bullish trend,1714,695,1016,40.548424737456244,-0.0012797671044741281,-2.1935208170686558,0.9975808522535572,50.863285674116426,2.0,-1.0,10,22,3,0.028692755529873406,-0.057517567943025996,0.054958033734077746,True
Control,trend_state,Bearish trend,1016,427,588,42.02755905511811,-0.023290854457586958,-23.663508128908347,0.9550113567516021,40.54619800954134,2.0,-1.0,9,13,1,0.035883330094464705,-0.09362218144273778,0.04704047252756387,True
Control,trend_state,Range/chop,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
BOS,direction,Long,965,425,539,44.04145077720207,0.005581011829704466,5.385676415664809,1.0113004401040504,27.508055834810065,2.0,-1.0,6,8,1,0.03617214443364551,-0.06531639126024073,0.07647841491964967,True
BOS,direction,Short,902,354,548,39.246119733924616,0.0009980441438695504,0.9002358177703345,1.0018212510369084,27.92991054215873,2.0,-1.0,7,15,0,0.0408833018705044,-0.07913322752231908,0.08112931581005817,True
BOS,HTF_regime,Bull,1142,476,665,41.68126094570928,0.032622200240444287,37.25455267458737,1.062686442644551,45.17694898174713,2.0,-1.0,9,16,1,0.035685249391707224,-0.037320888567301876,0.10256528904819046,True
BOS,HTF_regime,Bear,721,302,419,41.88626907073509,-0.04053376415162927,-29.224843953324704,0.9218978692868729,34.35900195227687,2.0,-1.0,7,15,0,0.04189809709813749,-0.12265403446397877,0.04158650616072022,True
BOS,HTF_regime,Neutral,4,1,3,25.0,-0.4359491219568803,-1.7437964878275212,0.2727304723746273,2.397730719615378,0.653934231787857,-1.0,1,3,0,0.39004413821705725,-1.2004356328623125,0.3285373889485519,False
