model,dimension,bucket,feature_1,value_1,feature_2,value_2,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample
Confirm,HTF_regime x score_band,Bull | 70-74,htf_regime_name,Bull,score_band,70-74,2,0,2,0.0,-1.0,-2.0,0.0,2.0,-1.0,-1.0,0,2,0,0.0,-1.0,-1.0,False
Confirm,HTF_regime x score_band,Bull | 75-79,htf_regime_name,Bull,score_band,75-79,183,82,100,44.80874316939891,0.003913693706767399,0.716205948338434,1.0086528105098487,14.874119728388077,2.0,-1.0,7,6,1,0.07840909061258594,-0.14976812389390104,0.15759551130743582,True
Confirm,HTF_regime x score_band,Bull | 80-84,htf_regime_name,Bull,score_band,80-84,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Confirm,HTF_regime x score_band,Bull | 85-89,htf_regime_name,Bull,score_band,85-89,27,10,17,37.03703703703704,-0.07775530512606806,-2.0993932384038376,0.8459205810819403,6.396350632282889,2.0,-1.0,2,7,0,0.2131204551980082,-0.4954713973141641,0.33996078706202804,False
Confirm,HTF_regime x score_band,Bull | 90-94,htf_regime_name,Bull,score_band,90-94,181,69,112,38.12154696132597,-0.016686702548876758,-3.0202931613466935,0.9710926951180878,19.19071506012346,2.0,-1.0,4,12,0,0.09331091580538355,-0.1995760975274285,0.166202692429675,True
Confirm,HTF_regime x score_band,Bull | 95+,htf_regime_name,Bull,score_band,95+,40,15,25,37.5,-0.2046957092702984,-8.187828370811935,0.6022728031795164,14.639491147047776,2.0,-1.0,3,8,0,0.14610454848062734,-0.491060624292328,0.0816692057517312,True
Confirm,HTF_regime x score_band,Bear | 70-74,htf_regime_name,Bear,score_band,70-74,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Confirm,HTF_regime x score_band,Bear | 75-79,htf_regime_name,Bear,score_band,75-79,116,50,66,43.10344827586207,0.035414019110572605,4.108026216826422,1.0699674120347016,10.420751731493862,2.0,-1.0,5,7,0,0.10988835241904105,-0.17996715163074786,0.2507951898518931,True
Confirm,HTF_regime x score_band,Bear | 80-84,htf_regime_name,Bear,score_band,80-84,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Confirm,HTF_regime x score_band,Bear | 85-89,htf_regime_name,Bear,score_band,85-89,16,7,9,43.75,-0.09610239026064243,-1.537638244170279,0.8105668268964729,3.537638244170279,2.0,-1.0,2,2,0,0.2607353321125512,-0.6071436412012428,0.41493886067995783,False
Confirm,HTF_regime x score_band,Bear | 90-94,htf_regime_name,Bear,score_band,90-94,93,40,53,43.01075268817204,0.001938191445809361,0.18025180446027056,1.003637264293505,8.475477475700059,2.0,-1.0,5,5,0,0.12468698985528155,-0.24244830867054248,0.24632469156216122,True
