trade_sequence,best_family_cumulative_net_R,complement_cumulative_net_R,long_cumulative_net_R,short_cumulative_net_R
142,,-10.087119891710042,-8.103667170222126,-23.134357709915157
143,,-11.107119384761337,-6.939694404075332,-22.531752193039825
144,,-12.130951896224348,-7.97219144903594,-23.541896805403326
145,,-11.095379242530834,-5.996790795818252,-21.552614549975583
146,,-12.112240956412691,-6.291047146715842,-19.56941753252525
147,,-12.10060647135279,-7.3118018256402015,-18.747698993319027
148,,-10.147756157605198,-7.888532572443976,-19.758568243194674
149,,-11.178732943159508,-7.580091510442478,-20.78683061956085
150,,-11.239886161147247,-7.078514252141375,-21.034769611614447
151,,-9.841506476562992,-7.228515946772276,-22.106991374490406
152,,-10.893127251306966,-8.26072328327983,-23.159972831018283
153,,-11.921287295387371,-7.327350302262445,-21.19128021103088
154,,-11.80327189684689,-5.379811747286945,-22.212650731001204
155,,-12.898364512207285,-6.399497555734564,-23.238145045054743
156,,-13.513847893589652,-7.461379594865411,-21.24582676655866
157,,-14.581239573431056,-8.470372049644869,-22.253471187788158
158,,-15.72200359006881,-8.462273095381393,-22.03380077574388
159,,-16.808113429804738,-7.922220172467801,-20.071107091972106
160,,-17.842149659191577,-7.556677954365859,-18.575176962743726
161,,-18.876106120161943,-7.997387674466292,-17.813066190233624
162,,-19.414148371627554,-7.279351251336413,-18.861865784478535
163,,-17.445954804577223,-5.294876120723304,-16.938203525006397
164,,-18.470414784683733,-6.353060677111643,-17.955627207080138
165,,-16.481931489882346,-4.390167831734003,-15.966279907625985
166,,-17.495899659858086,-4.22373075238576,-16.98497008179399
167,,-18.509941050876773,-5.246113845303979,-15.002901859404348
168,,-19.525990899040835,-3.2677028280383498,-16.025244751313977
169,,-20.102047567266673,-1.9938032625596924,-17.045326610677417
170,,-20.337660552636542,-3.048700714251571,-18.053695462061526
171,,-21.370800663036157,-4.097747841544628,-18.37600601843683
172,,-22.379700346820123,-2.921348591292487,-16.822319507056427
173,,-23.434012564580218,-3.5494642234076146,-17.83456238991414
174,,-21.944539456105137,-3.8791635816152805,-18.639605070839842
175,,-19.958022693240927,-4.897592453970473,-16.64545690935957
176,,-20.97127284352354,-4.431094562735375,-17.658407472516966
177,,-21.99280403578935,-3.3945107113872184,-17.292489016354068
178,,-20.0028217491099,-4.469384532516868,-16.690727772825692
179,,-21.0136089776405,-4.969278232592371,-16.84497201325314
180,,-22.0200857968736,-5.270999127068985,-17.86670382504344
181,,-23.027232087934483,-6.297984372143739,-17.698056186607243
182,,-22.50507487166715,-7.310572938969584,-17.29040060369248
183,,-21.575629217925762,-8.321619387613534,-16.91899940434647
184,,-21.118988067302638,-8.659505333083947,-15.598888710697924
185,,-22.128322958443306,-8.451701185037349,-15.372936355805672
186,,-21.89534248648198,-7.997570999091062,-16.408691073658986
187,,-21.874893377862225,-9.00597238573566,-14.433008966557347
188,,-20.498798610865784,-8.074044455801186,-15.46119946812754
189,,-21.522763759586393,-9.13156524059258,-16.503019641947613
190,,-22.54071904285597,-10.143714555210845,-17.52484178680349
191,,-23.582160534438096,-8.155871448236866,-16.83241395996075
192,,-21.61051939828811,-9.163085515487731,-17.864821232081084
193,,-22.623344855886863,-9.022725725984426,-18.907635101192522
194,,-23.653152932698543,-8.667273084846284,-18.358463199706723
195,,-24.6828931693449,-9.673246102091946,-17.264931899633762
196,,-23.269137082986443,-7.680866716003985,-18.292407637940414
197,,-23.958398149005376,-8.690182581015137,-16.31694227807309
198,,-22.699026659049196,-9.69606939390735,-17.35177085161981
199,,-23.720916421630356,-7.726740544906741,-17.355408056506704
200,,-23.882705211271375,-8.74064845126157,-16.908004282988486
201,,-21.917273295446932,-9.78253556984755,-17.076071630735854
202,,-22.933214515604732,-10.815635250330276,-16.686965348098642
203,,-21.985791491808236,-10.323154264668586,-17.703464751310133
