opportunity_id,direction,wait_signal_i,immediate_entry_i,system,location_score,direction_score,reaction_score,total_evidence
OPP_00082594_LONG,LONG,82594,82595,E,2,0,2,3
OPP_00082657_SHORT,SHORT,82657,82658,E,0,2,2,3
OPP_00082743_LONG,LONG,82743,82744,E,1,0,2,2
OPP_00082964_LONG,LONG,82964,82965,E,1,1,1,3
OPP_00083010_SHORT,SHORT,83010,83011,E,2,0,1,2
OPP_00083162_SHORT,SHORT,83162,83163,E,1,1,1,3
OPP_00083434_LONG,LONG,83434,83435,E,1,1,1,3
OPP_00083641_SHORT,SHORT,83641,83642,E,0,1,2,3
OPP_00083915_LONG,LONG,83915,83916,E,1,0,2,2
OPP_00084040_SHORT,SHORT,84040,84041,E,2,0,2,3
OPP_00084053_LONG,LONG,84053,84054,E,2,0,2,3
OPP_00084428_SHORT,SHORT,84428,84429,E,1,2,1,3
OPP_00084824_SHORT,SHORT,84824,84825,E,1,0,3,3
OPP_00085002_SHORT,SHORT,85002,85003,E,1,1,2,3
OPP_00085213_LONG,LONG,85213,85214,E,2,1,1,3
OPP_00085294_LONG,LONG,85294,85295,E,0,1,2,2
OPP_00085377_LONG,LONG,85377,85378,E,0,2,2,3
OPP_00085931_LONG,LONG,85931,85932,E,1,2,1,3
OPP_00086508_SHORT,SHORT,86508,86509,E,1,0,2,2
OPP_00086919_LONG,LONG,86919,86920,E,2,0,1,3
OPP_00086931_SHORT,SHORT,86931,86932,E,1,1,2,3
OPP_00087050_LONG,LONG,87050,87051,E,1,1,1,3
OPP_00087133_SHORT,SHORT,87133,87134,E,1,0,2,2
OPP_00087673_LONG,LONG,87673,87674,E,2,1,1,3
OPP_00087731_SHORT,SHORT,87731,87732,E,3,0,0,2
OPP_00087899_LONG,LONG,87899,87900,E,2,0,2,3
OPP_00088006_SHORT,SHORT,88006,88007,E,2,-1,2,2
OPP_00088142_SHORT,SHORT,88142,88143,E,1,0,2,2
OPP_00088225_SHORT,SHORT,88225,88226,E,2,0,2,3
OPP_00088759_SHORT,SHORT,88759,88760,E,1,1,1,2
OPP_00088832_SHORT,SHORT,88832,88833,E,2,0,1,2
OPP_00089024_SHORT,SHORT,89024,89025,E,2,1,1,3
OPP_00089334_SHORT,SHORT,89334,89335,E,2,1,1,3
OPP_00089536_LONG,LONG,89536,89537,E,1,1,1,2
OPP_00089561_SHORT,SHORT,89561,89562,E,2,0,1,2
OPP_00089967_LONG,LONG,89967,89968,E,2,0,1,2
OPP_00090131_LONG,LONG,90131,90132,E,2,0,1,2
OPP_00090287_SHORT,SHORT,90287,90288,E,1,0,2,2
OPP_00090444_SHORT,SHORT,90444,90445,E,0,1,2,3
OPP_00090695_SHORT,SHORT,90695,90696,E,2,0,2,3
OPP_00090770_SHORT,SHORT,90770,90771,E,1,0,2,2
OPP_00090793_SHORT,SHORT,90793,90794,E,3,-1,2,3
OPP_00090824_SHORT,SHORT,90824,90825,E,0,1,2,2
OPP_00091488_SHORT,SHORT,91488,91489,E,2,1,1,3
OPP_00091850_LONG,LONG,91850,91851,E,1,-1,3,2
OPP_00091899_LONG,LONG,91899,91900,E,0,1,2,3
OPP_00092038_SHORT,SHORT,92038,92039,E,1,-1,3,2
OPP_00092164_SHORT,SHORT,92164,92165,E,2,0,1,2
OPP_00092236_SHORT,SHORT,92236,92237,E,1,-1,3,2
