window_id,timestamp,open,high,low,close,continuation_state,reversal_state,L,S,RL,RS,entry_price,stop,target
JUN_20_26_2026,2026-06-25 14:45:00-05:00,26976.5,27055.25,26920.0,27053.25,ACTIVE,WAIT_RETEST,False,False,False,False,,,
JUN_20_26_2026,2026-06-25 15:00:00-05:00,27052.5,27226.25,27051.5,27110.5,IDLE,WAIT_RETEST,False,False,False,False,,,
JUN_20_26_2026,2026-06-25 15:15:00-05:00,27110.25,27172.0,27107.75,27122.25,IDLE,WAIT_RETEST,False,False,False,False,,,
JUN_20_26_2026,2026-06-25 15:30:00-05:00,27124.25,27127.25,27073.75,27081.5,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-25 15:45:00-05:00,27082.5,27084.25,27054.0,27063.0,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-26 09:30:00-05:00,26897.25,26922.0,26759.25,26797.25,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-26 09:45:00-05:00,26797.5,26883.75,26769.75,26805.5,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-26 10:00:00-05:00,26809.0,26857.0,26741.75,26748.25,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-26 10:15:00-05:00,26750.25,26898.0,26712.5,26896.25,WAIT,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-26 10:30:00-05:00,26895.5,27019.75,26870.75,27001.25,ACTIVE,WAIT_RECLAIM,True,False,False,False,26909.47045991497,26821.60475693572,27173.06756885272
JUN_20_26_2026,2026-06-26 10:45:00-05:00,27000.5,27009.0,26834.75,26925.0,ACTIVE,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-26 11:00:00-05:00,26924.5,26930.25,26822.5,26859.0,ACTIVE,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-26 11:15:00-05:00,26858.75,26888.25,26797.5,26861.0,IDLE,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-26 11:30:00-05:00,26863.0,26946.5,26862.75,26902.5,IDLE,IDLE,False,False,False,False,,,
