setup_id,setup_timestamp,direction,score,status,bos_timestamp,setup_to_bos_bars,opposite_bos_timestamp
S00238,2024-02-29 23:45:00-06:00,Long,90,Immediate same-bar,2024-02-29 23:45:00-06:00,0.0,
S00239,2024-03-01 07:35:00-06:00,Long,75,Never within expiry,,,
S00240,2024-03-01 08:30:00-06:00,Long,90,Immediate same-bar,2024-03-01 08:30:00-06:00,0.0,
S00241,2024-03-01 09:05:00-06:00,Long,90,Immediate same-bar,2024-03-01 09:05:00-06:00,0.0,
S00242,2024-03-01 10:00:00-06:00,Long,75,Immediate same-bar,2024-03-01 10:00:00-06:00,0.0,
S00243,2024-03-04 00:20:00-06:00,Short,75,Opposite BOS first,,,2024-03-04 00:30:00-06:00
S00244,2024-03-04 00:30:00-06:00,Long,90,Immediate same-bar,2024-03-04 00:30:00-06:00,0.0,
S00245,2024-03-04 01:05:00-06:00,Long,90,Immediate same-bar,2024-03-04 01:05:00-06:00,0.0,
S00246,2024-03-04 03:25:00-06:00,Short,90,Immediate same-bar,2024-03-04 03:25:00-06:00,0.0,
S00247,2024-03-04 05:55:00-06:00,Long,90,Immediate same-bar,2024-03-04 05:55:00-06:00,0.0,
S00248,2024-03-04 14:45:00-06:00,Short,75,Immediate same-bar,2024-03-04 14:45:00-06:00,0.0,
S00249,2024-03-05 06:45:00-06:00,Long,75,Never within expiry,,,
S00250,2024-03-05 11:25:00-06:00,Long,85,Immediate same-bar,2024-03-05 11:25:00-06:00,0.0,
S00251,2024-03-05 12:35:00-06:00,Long,85,Opposite BOS first,,,2024-03-05 12:40:00-06:00
S00252,2024-03-05 12:40:00-06:00,Short,75,Immediate same-bar,2024-03-05 12:40:00-06:00,0.0,
